
2024/02/15 (17:36:12) | ===> btop++ v.1.3.1
2024/02/15 (17:36:12) | ERROR: Stall in Runner thread, restarting!
2024/02/15 (18:05:21) | WARNING: Failed to join _runner thread on exit!

2024/04/25 (21:57:38) | ===> btop++ v.1.3.2
2024/04/25 (21:57:38) | ERROR: Stall in Runner thread, restarting!
2024/04/25 (21:57:44) | ERROR: Stall in Runner thread, restarting!
2024/04/25 (21:57:50) | ERROR: Stall in Runner thread, restarting!
2024/04/25 (21:57:56) | ERROR: Stall in Runner thread, restarting!
2024/04/25 (21:58:02) | ERROR: Stall in Runner thread, restarting!
2024/04/25 (21:58:08) | ERROR: Stall in Runner thread, restarting!
2024/04/25 (21:58:14) | ERROR: Stall in Runner thread, restarting!
2024/04/25 (21:58:20) | ERROR: Stall in Runner thread, restarting!
2024/04/25 (21:58:26) | ERROR: Stall in Runner thread, restarting!

2024/09/24 (11:53:19) | ===> btop++ v.1.4.0
2024/09/24 (11:53:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/25 (14:09:08) | ===> btop++ v.1.4.0
2024/09/25 (14:09:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/21 (09:57:45) | ===> btop++ v.1.4.0
2024/10/21 (09:57:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (17:43:40) | ===> btop++ v.1.4.0
2024/10/29 (17:43:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (15:49:11) | ===> btop++ v.1.4.0
2024/10/31 (15:49:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (09:56:58) | ===> btop++ v.1.4.0
2024/11/12 (09:56:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (11:45:01) | ===> btop++ v.1.4.0
2024/11/12 (11:45:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (14:14:40) | ===> btop++ v.1.4.0
2024/11/12 (14:14:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (18:01:29) | ===> btop++ v.1.4.0
2024/11/16 (18:01:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (15:36:50) | ===> btop++ v.1.4.0
2024/11/18 (15:36:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (15:38:21) | ===> btop++ v.1.4.0
2024/11/18 (15:38:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (17:47:13) | ===> btop++ v.1.4.0
2024/11/20 (17:47:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (17:20:00) | ===> btop++ v.1.4.0
2024/11/29 (17:20:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (12:35:06) | ===> btop++ v.1.4.0
2024/12/02 (12:35:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (13:55:32) | ===> btop++ v.1.4.0
2024/12/03 (13:55:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (12:11:46) | ===> btop++ v.1.4.0
2024/12/12 (12:11:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (12:13:14) | ===> btop++ v.1.4.0
2024/12/12 (12:13:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (12:13:18) | ===> btop++ v.1.4.0
2024/12/12 (12:13:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (10:08:36) | ===> btop++ v.1.4.0
2024/12/19 (10:08:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (10:21:25) | ===> btop++ v.1.4.0
2024/12/19 (10:21:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (13:29:47) | ===> btop++ v.1.4.0
2025/01/08 (13:29:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (11:07:41) | ===> btop++ v.1.4.0
2025/01/16 (11:07:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (11:13:05) | ===> btop++ v.1.4.0
2025/01/16 (11:13:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (16:33:20) | ===> btop++ v.1.4.0
2025/01/17 (16:33:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (10:43:55) | ===> btop++ v.1.4.0
2025/01/27 (10:43:55) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/27 (10:44:04) | ERROR: Stall in Runner thread, restarting!

2025/01/27 (10:44:23) | ===> btop++ v.1.4.0
2025/01/27 (10:44:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (13:06:15) | ===> btop++ v.1.4.0
2025/01/27 (13:06:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (11:00:37) | ===> btop++ v.1.4.0
2025/01/28 (11:00:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/28 (23:56:24) | ===> btop++ v.1.4.0
